x,y,z,vx,vy,vz,theta_z,theta_y,theta_x
1.858856504319731651e-01,7.380057563110382912e-02,0.000000000000000000e+00,-1.162162136508138998e-03,2.927202976465400133e-03,0.000000000000000000e+00,-2.763656695263201346e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.847004889850460962e-01,7.671850734135059191e-02,0.000000000000000000e+00,-1.208111774726624644e-03,2.908539846164728913e-03,0.000000000000000000e+00,-2.747909363666260152e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.834695267431778465e-01,7.961741490801090004e-02,0.000000000000000000e+00,-1.253761833447707055e-03,2.889155475558714825e-03,0.000000000000000000e+00,-2.732162032069318958e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.821930689521721325e-01,8.249657947932785562e-02,0.000000000000000000e+00,-1.299100992674400443e-03,2.869054671454248761e-03,0.000000000000000000e+00,-2.716414700472377319e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.808714321395155089e-01,8.535528709928073832e-02,0.000000000000000000e+00,-1.344118009504501401e-03,2.848242418314620317e-03,0.000000000000000000e+00,-2.700667368875436125e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.795049440358868487e-01,8.819282888462720571e-02,0.000000000000000000e+00,-1.388801720918528921e-03,2.826723877023504337e-03,0.000000000000000000e+00,-2.684920037278494931e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.780939434938889065e-01,9.100850120068731952e-02,0.000000000000000000e+00,-1.433141046547855603e-03,2.804504383605198586e-03,0.000000000000000000e+00,-2.669172705681553737e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.766387804040219500e-01,9.380160583582626554e-02,0.000000000000000000e+00,-1.477124991422342241e-03,2.781589447901434368e-03,0.000000000000000000e+00,-2.653425374084612098e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.751398156079201351e-01,9.657145017459212166e-02,0.000000000000000000e+00,-1.520742648696799025e-03,2.757984752205077522e-03,0.000000000000000000e+00,-2.637678042487670904e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.735974208088726378e-01,9.931734736946613851e-02,0.000000000000000000e+00,-1.563983202355590961e-03,2.733696149851078463e-03,0.000000000000000000e+00,-2.621930710890729710e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.720119784796507734e-01,1.020386165111824561e-01,0.000000000000000000e+00,-1.606835929894721588e-03,2.708729663764995223e-03,0.000000000000000000e+00,-2.606183379293788072e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.703838817676654183e-01,1.047345827975755816e-01,0.000000000000000000e+00,-1.649290204980728659e-03,2.683091484969471995e-03,0.000000000000000000e+00,-2.590436047696846877e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.687135343974765500e-01,1.074045777009131897e-01,0.000000000000000000e+00,-1.691335500085729311e-03,2.656787971049028810e-03,0.000000000000000000e+00,-2.574688716099905683e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.670013505706804957e-01,1.100479391336733753e-01,0.000000000000000000e+00,-1.732961389097969866e-03,2.629825644573551349e-03,0.000000000000000000e+00,-2.558941384502964489e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.652477548631989812e-01,1.126640116127244212e-01,0.000000000000000000e+00,-1.774157549907219101e-03,2.602211191480867294e-03,0.000000000000000000e+00,-2.543194052906022851e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.634531821199955992e-01,1.152521464218673464e-01,0.000000000000000000e+00,-1.814913766964379189e-03,2.573951459418810823e-03,0.000000000000000000e+00,-2.527446721309081656e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.616180773472458976e-01,1.178117017727001725e-01,0.000000000000000000e+00,-1.855219933814669219e-03,2.545053456047191576e-03,0.000000000000000000e+00,-2.511699389712140462e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.597428956019875945e-01,1.203420429637643285e-01,0.000000000000000000e+00,-1.895066055603755696e-03,2.515524347300077904e-03,0.000000000000000000e+00,-2.495952058115198824e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.578281018792787316e-01,1.228425425379335717e-01,0.000000000000000000e+00,-1.934442251556209432e-03,2.485371455608839392e-03,0.000000000000000000e+00,-2.480204726518257630e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.558741709968912148e-01,1.253125804380068042e-01,0.000000000000000000e+00,-1.973338757425675393e-03,2.454602258086379264e-03,0.000000000000000000e+00,-2.464457394921316435e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.538815874775686654e-01,1.277515441604656077e-01,0.000000000000000000e+00,-2.011745927916144209e-03,2.423224384673006854e-03,0.000000000000000000e+00,-2.448710063324375241e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.518508454288777232e-01,1.301588289073587201e-01,0.000000000000000000e+00,-2.049654239073729275e-03,2.391245616244418518e-03,0.000000000000000000e+00,-2.432962731727433603e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.497824484206826123e-01,1.325338377362760833e-01,0.000000000000000000e+00,-2.087054290648353988e-03,2.358673882682248840e-03,0.000000000000000000e+00,-2.417215400130492409e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.476769093602730842e-01,1.348759817083741985e-01,0.000000000000000000e+00,-2.123936808424760174e-03,2.325517260907667902e-03,0.000000000000000000e+00,-2.401468068533551214e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.455347503651772401e-01,1.371846800344176109e-01,0.000000000000000000e+00,-2.160292646522269603e-03,2.291783972878522896e-03,0.000000000000000000e+00,-2.385720736936609576e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.433565026336902637e-01,1.394593602187990944e-01,0.000000000000000000e+00,-2.196112789662716357e-03,2.257482383550512423e-03,0.000000000000000000e+00,-2.369973405339668382e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.411427063131513726e-01,1.416994582015030368e-01,0.000000000000000000e+00,-2.231388355405994513e-03,2.222620998802897398e-03,0.000000000000000000e+00,-2.354226073742727188e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.388939103660017382e-01,1.439044184979776098e-01,0.000000000000000000e+00,-2.266110596352669503e-03,2.187208463329274634e-03,0.000000000000000000e+00,-2.338478742145785994e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.366106724336564326e-01,1.460736943368799168e-01,0.000000000000000000e+00,-2.300270902313097596e-03,2.151253558493918753e-03,0.000000000000000000e+00,-2.322731410548844799e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.342935586982242080e-01,1.482067477956608426e-01,0.000000000000000000e+00,-2.333860802442523120e-03,2.114765200154239758e-03,0.000000000000000000e+00,-2.306984078951903161e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.319431437421094422e-01,1.503030499339552684e-01,0.000000000000000000e+00,-2.366871967341623029e-03,2.077752436449890102e-03,0.000000000000000000e+00,-2.291236747354961967e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.295600104055310564e-01,1.523620809247454855e-01,0.000000000000000000e+00,-2.399296211121974918e-03,2.040224445559065541e-03,0.000000000000000000e+00,-2.275489415758020328e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.271447496419935985e-01,1.543833301832641947e-01,0.000000000000000000e+00,-2.431125493435940671e-03,2.002190533422559642e-03,0.000000000000000000e+00,-2.259742084161079134e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.246979603717467272e-01,1.563662964936059774e-01,0.000000000000000000e+00,-2.462351921470456138e-03,1.963660131436143971e-03,0.000000000000000000e+00,-2.243994752564137940e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.222202493332686796e-01,1.583104881330155145e-01,0.000000000000000000e+00,-2.492967751904238971e-03,1.924642794111828224e-03,0.000000000000000000e+00,-2.228247420967196746e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.197122309328116085e-01,1.602154229938216323e-01,0.000000000000000000e+00,-2.522965392827926281e-03,1.885148196708600265e-03,0.000000000000000000e+00,-2.212500089370255552e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.171745270920449555e-01,1.620806287029872839e-01,0.000000000000000000e+00,-2.552337405626665945e-03,1.845186132833216176e-03,0.000000000000000000e+00,-2.196752757773313913e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.146077670938357163e-01,1.639056427392452941e-01,0.000000000000000000e+00,-2.581076506824693181e-03,1.804766512011650925e-03,0.000000000000000000e+00,-2.181005426176372719e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.120125874262028476e-01,1.656900125477913932e-01,0.000000000000000000e+00,-2.609175569891439197e-03,1.763899357231795990e-03,0.000000000000000000e+00,-2.165258094579431081e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.093896316244853950e-01,1.674332956525057259e-01,0.000000000000000000e+00,-2.636627627008720880e-03,1.722594802458030181e-03,0.000000000000000000e+00,-2.149510762982489886e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.067395501117627127e-01,1.691350597656751387e-01,0.000000000000000000e+00,-2.663425870798574822e-03,1.680863090118262350e-03,0.000000000000000000e+00,-2.133763431385548692e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.040630000375670355e-01,1.707948828951889875e-01,0.000000000000000000e+00,-2.689563656011301988e-03,1.638714568564085235e-03,0.000000000000000000e+00,-2.118016099788607498e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.013606451149279969e-01,1.724123534491819043e-01,0.000000000000000000e+00,-2.715034501173316673e-03,1.596159689504661472e-03,0.000000000000000000e+00,-2.102268768191666304e+00,0.000000000000000000e+00,3.141592653589793116e+00
9.863315545578911492e-02,1.739870703380976547e-01,0.000000000000000000e+00,-2.739832090194376912e-03,1.553209005414973214e-03,0.000000000000000000e+00,-2.086521436594724666e+00,0.000000000000000000e+00,3.141592653589793116e+00
9.588120740483845050e-02,1.755186430741485504e-01,0.000000000000000000e+00,-2.763950273933805588e-03,1.509873166919096501e-03,0.000000000000000000e+00,-2.070774104997783471e+00,0.000000000000000000e+00,3.141592653589793116e+00
9.310548337179262723e-02,1.770066918681462154e-01,0.000000000000000000e+00,-2.787383071725314972e-03,1.466162920149124667e-03,0.000000000000000000e+00,-2.055026773400841833e+00,0.000000000000000000e+00,3.141592653589793116e+00
9.030667166217790087e-02,1.784508477236788071e-01,0.000000000000000000e+00,-2.810124672860051312e-03,1.422089104080419275e-03,0.000000000000000000e+00,-2.039279441803900639e+00,0.000000000000000000e+00,3.141592653589793116e+00
8.748546630664831569e-02,1.798507525286127395e-01,0.000000000000000000e+00,-2.832169438027497353e-03,1.377662647843828263e-03,0.000000000000000000e+00,-2.023532110206959445e+00,0.000000000000000000e+00,3.141592653589793116e+00
8.464256688888500968e-02,1.812060591438946211e-01,0.000000000000000000e+00,-2.853511900713869356e-03,1.332894568015558032e-03,0.000000000000000000e+00,-2.007784778610018250e+00,0.000000000000000000e+00,3.141592653589793116e+00
8.177867837211777458e-02,1.825164314896325080e-01,0.000000000000000000e+00,-2.874146768557665592e-03,1.287795965885351951e-03,0.000000000000000000e+00,-1.992037447013076834e+00,0.000000000000000000e+00,3.141592653589793116e+00
7.889451092431321033e-02,1.837815446284349619e-01,0.000000000000000000e+00,-2.894068924662034949e-03,1.242378024703669594e-03,0.000000000000000000e+00,-1.976290115416135418e+00,0.000000000000000000e+00,3.141592653589793116e+00
7.599077974207200936e-02,1.850010848459865409e-01,0.000000000000000000e+00,-2.913273428863625680e-03,1.196652006908538934e-03,0.000000000000000000e+00,-1.960542783819194224e+00,0.000000000000000000e+00,3.141592653589793116e+00
7.306820487327900238e-02,1.861747497288408493e-01,0.000000000000000000e+00,-2.931755518957618063e-03,1.150629251332768201e-03,0.000000000000000000e+00,-1.944795452222252807e+00,0.000000000000000000e+00,3.141592653589793116e+00
7.012751103855090207e-02,1.873022482394109678e-01,0.000000000000000000e+00,-2.949510611878623095e-03,1.104321170392223673e-03,0.000000000000000000e+00,-1.929048120625311613e+00,0.000000000000000000e+00,3.141592653589793116e+00
6.716942745152450212e-02,1.883833007881388355e-01,0.000000000000000000e+00,-2.966534304837159259e-03,1.057739247255849507e-03,0.000000000000000000e+00,-1.913300789028370197e+00,0.000000000000000000e+00,3.141592653589793116e+00
6.419468763803155842e-02,1.894176393028261796e-01,0.000000000000000000e+00,-2.982822376411428927e-03,1.010895032998152757e-03,0.000000000000000000e+00,-1.897553457431429003e+00,0.000000000000000000e+00,3.141592653589793116e+00
6.120402925420353329e-02,1.904050072951092298e-01,0.000000000000000000e+00,-2.998370787594116429e-03,9.638001437348402275e-04,0.000000000000000000e+00,-1.881806125834487586e+00,0.000000000000000000e+00,3.141592653589793116e+00
5.819819390355288058e-02,1.913451599240609813e-01,0.000000000000000000e+00,-3.013175682793955371e-03,9.164662577423359413e-04,0.000000000000000000e+00,-1.866058794237546170e+00,0.000000000000000000e+00,3.141592653589793116e+00
5.517792695307504464e-02,1.922378640569050723e-01,0.000000000000000000e+00,-3.027233390791811505e-03,8.689051125618787660e-04,0.000000000000000000e+00,-1.850311462640604976e+00,0.000000000000000000e+00,3.141592653589793116e+00
5.214397734841716425e-02,1.930828983268268739e-01,0.000000000000000000e+00,-3.040540425651049126e-03,8.211285020889220500e-04,0.000000000000000000e+00,-1.834564131043663560e+00,0.000000000000000000e+00,3.141592653589793116e+00
4.909709742815984712e-02,1.938800531878660804e-01,0.000000000000000000e+00,-3.053093487581947253e-03,7.731482736485679758e-04,0.000000000000000000e+00,-1.818816799446722365e+00,0.000000000000000000e+00,3.141592653589793116e+00
4.603804273725693036e-02,1.946291309668789216e-01,0.000000000000000000e+00,-3.064889463759962619e-03,7.249763250577409297e-04,0.000000000000000000e+00,-1.803069467849780949e+00,0.000000000000000000e+00,3.141592653589793116e+00
4.296757183968080707e-02,1.953299459125555360e-01,0.000000000000000000e+00,-3.075925429097624807e-03,6.766246016748515618e-04,0.000000000000000000e+00,-1.787322136252839755e+00,0.000000000000000000e+00,3.141592653589793116e+00
3.988644613031844949e-02,1.959823242414815425e-01,0.000000000000000000e+00,-3.086198646969881380e-03,6.281050934376615838e-04,0.000000000000000000e+00,-1.771574804655898339e+00,0.000000000000000000e+00,3.141592653589793116e+00
3.679542964616613204e-02,1.965861041812315968e-01,0.000000000000000000e+00,-3.095706569892706529e-03,5.794298318901032561e-04,0.000000000000000000e+00,-1.755827473058956922e+00,0.000000000000000000e+00,3.141592653589793116e+00
3.369528887686842888e-02,1.971411360104846078e-01,0.000000000000000000e+00,-3.104446840154810594e-03,5.306108871987756442e-04,0.000000000000000000e+00,-1.740080141462015728e+00,0.000000000000000000e+00,3.141592653589793116e+00
3.058679257464917006e-02,1.976472820961507615e-01,0.000000000000000000e+00,-3.112417290402289156e-03,4.816603651598630334e-04,0.000000000000000000e+00,-1.724332809865074312e+00,0.000000000000000000e+00,3.141592653589793116e+00
2.747071156368165179e-02,1.981044169275006650e-01,0.000000000000000000e+00,-3.119615944176068120e-03,4.325904041972253354e-04,0.000000000000000000e+00,-1.708585478268133118e+00,0.000000000000000000e+00,3.141592653589793116e+00
2.434781854894446651e-02,1.985124271472888946e-01,0.000000000000000000e+00,-3.126041016402014271e-03,3.834131723523871195e-04,0.000000000000000000e+00,-1.692838146671191701e+00,0.000000000000000000e+00,3.141592653589793116e+00
2.121888792461162562e-02,1.988712115798633440e-01,0.000000000000000000e+00,-3.131690913833584666e-03,3.341408642671932628e-04,0.000000000000000000e+00,-1.677090815074250507e+00,0.000000000000000000e+00,3.141592653589793116e+00
